Id_peli,Tipo,imdb_id,Titulo,Titulo original,Popularidad,Rating,Fecha,Duracion,Paises,Idioma,productoras_id,productoras_nombre,productoras_pais,Presupuesto,Ganancia,Generos,Director,Genero_dir,Casting,Genero_cast,Guion,Genero_guion,Montaje,Genero_montaje,DOP,Genero_dop,Resumen
1244869.0,movie,tt8038682,The House,La casa,9.961,6.8,2024-05-01,81,['ES'],es,"[220987, 76584]","['RAW Producciones', 'Nakamura Films']","['ES', 'ES']",0,0,['Drama'],['Álex Montoya'],[0],"['David Verdaguer', 'Luis Callejo', 'Óscar de la Fuente', 'Olivia Molina', 'María Romanillos', 'Lorena López', 'Marta Belenguer', 'Jordi Aguilar', 'Miguel Rellán', 'Tosca Montoya', 'Jona García', 'Arantzazu Pastor', 'Dario Mataix', 'Moana Gómez', 'Nora Arándiga', 'Pau Belloch Rubio', 'Guillem Belloch Rubio', 'Amparo Oltra', 'Paco Roca', 'Pau Linuesa Batalla', 'Adrián Pascual López']","[2, 2, 2, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['Joana M. Ortueta', 'Álex Montoya']","[0, 0]",[],[],[],[],"After the death of their father, three siblings return to the family home where they grew up. They intend to sell it and follow their very different paths. But as memories surface in every corner, a fear of getting rid of the past and an impulse to reunite grows in them. As a last tribute to their father, there may still be time to make up for lost time and the house may witness new stories."
1088514.0,movie,tt29439114,The Room Next Door,La habitación de al lado,365.557,7.1,2024-10-07,107,['ES'],es,[49],['El Deseo'],['ES'],0,11221376,['Drama'],['Pedro Almodóvar'],[2],"['Julianne Moore', 'Tilda Swinton', 'John Turturro', 'Alessandro Nivola', 'Juan Diego Botto', 'Raúl Arévalo', 'Victoria Luengo', 'Alex Høgh Andersen', 'Esther-Rose McGregor', 'Alvise Rigo', 'Melina Matthews', 'Sarah Demeestere', 'Anh Duong', 'Bobbi Salvör Menuez', 'Annika Wahlsten', 'Shane Woodward', 'Paolo Luka Noé', 'Cristina Kovani', 'Nya Bowman', 'Dora Rowdon', 'Viktor Longo', 'Antonios Antoniadis', 'Celia Rocha', 'Kyla Thomas', 'Toon De Melker', 'Ira Gramerman', 'Tom Johnson']","[1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0]",[],[],['Teresa Font'],[1],['Eduard Grau'],[2],"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation."
1214107.0,movie,tt26923334,Glimmers,Los destellos,2.32,7.0,2024-10-04,101,['ES'],es,"[5444, 116141, 63364, 981, 67412, 121972, 5085]","['Mod Producciones', 'Misent Producciones', 'Inicia Films', 'TVE', 'Movistar+', 'À Punt', 'TV3']","['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']",0,0,['Drama'],['Pilar Palomero'],[1],"['Patricia López Arnaiz', 'Antonio de la Torre', 'Marina Guerola', 'Julián López']","[1, 2, 0, 2]",['Pilar Palomero'],[1],['Sofia Escudé'],[1],['Daniela Cajías'],[1],Isabel's life is turned upside down the day her daughter Madalen asks her to visit her sick ex-husband Ramón on a regular basis.
1247597.0,movie,tt21920688,Salve Maria,Salve Maria,4.293,6.0,2024-10-31,111,['ES'],ca,"[7847, 181783, 211922]","['Escándalo Films', 'Elastica Films', '3Cat']","['ES', 'ES', 'ES']",0,0,['Drama'],['Mar Coll'],[1],"['Laura Weissmahr', 'Oriol Pla', 'Giannina Fruttero', 'Belén Cruz', 'Karim Belayane', 'Magali Heu', 'Julie Maes', 'Oscar Walls', 'Sam Avtaev']","[0, 2, 1, 0, 0, 0, 1, 0, 0]","['Mar Coll', 'Valentina Viso']","[1, 0]",['Aina Calleja'],[1],['Nilo Zimmermann'],[0],"Maria (34), a young writer who has just become a mother, is obsessed with a scandalous event: Alice Espanet (37) has drowned her 10-month-old twins in the bathtub. Writing about Alice will be Maria's only way to understand the radical experience of her own motherhood."
1235922.0,movie,tt30973261,I Am Nevenka,Soy Nevenka,5.341,7.6,2024-09-27,100,['ES'],es,"[13287, 152156, 219708, 219709, 67412]","['Kowalski Films', 'Feelgood Media', 'Nva Peli AIE', 'Garbo Produzioni', 'Movistar+']","['ES', 'ES', '', '', 'ES']",0,0,"['Drama', 'History']",['Icíar Bollaín'],[1],"['Mireia Oriol', 'Urko Olazábal', 'Ricardo Gómez', 'Lucía Veiga', 'Font García', 'Martxelo Rubio', 'Carlos Serrano', 'Luis Moreno', 'Mabel del Pozo', 'Pepo Suevos', 'Mercedes del Castillo', 'Candela Díaz Sanz', 'Mirena Nafarrate', 'Esther Isla', 'Javier Gálego', 'Xavier Estévez', 'Javier Pérez-Acebrón', 'Ana López Segovia', 'Arantxa Zambrano', 'David Blanka']","[1, 2, 2, 1, 2, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",[],[],[],[],['Gris Jordana'],[0],"In the year 2000, Nevenka Fernández, 24 years old, Councilor for Finance in the Ponferrada City Council, suffered relentless persecution, both sentimental and professional, by the mayor, a man accustomed to doing his will politically and personally. She never decides to report, although she knows that she will have to pay a very high price: her environment does not support her, the society of Ponferrada turns its back on her and the media subjects her to a public trial. A story inspired by real events that turns its protagonist into a pioneer by taking an influential and popular politician to court for sexual and workplace harassment for the first time."
1154304.0,movie,tt26530493,Buffalo Kids,Buffalo Kids,160.272,6.8,2024-08-14,83,['ES'],es,"[37209, 29566, 204496]","['4 Cats Pictures', 'Atresmedia', 'Core Animation']","['ES', 'ES', 'ES']",0,7478666,"['Animation', 'Adventure', 'Comedy', 'Family']","['Pedro Solís', 'Juan Jesús García Galocha']","[2, 2]","['Mia Pérez Ullod', 'Jaume Solà', 'Javier Cassi Gimeno', 'Federico Bote Bubaila', 'Isabel Valls', 'Ricky Coello', 'Óscar Barberán', 'Alfonso Vallés', 'Miguel Ángel Jenner', 'Celia Sol', 'Pep Ribas', 'Miquel Bonet', 'Lara Berot Areta', 'Martina Ramírez García', 'Laia Vidal', 'Míriam Alier', 'Elisabet Bargalló', 'Ana María Camps Alcántara', 'Pilar Esteras Casanova', 'María Montalá', 'Elena Barra', 'Sara Gómez Alonso', 'Hugo Carrasco Fernández', 'Héctor García', 'José Antonio Rizo Martín', 'Pablo Gómez', 'Rafa Parra', 'Francesc Belda', 'Álvaro Marín Leralta', 'Nacho Díaz', 'Ferran Carnicero']","[0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","['Javier López Barreira', 'Jordi Gasull']","[0, 0]",[],[],[],[],"Mary and Tom are parentless Irish siblings who arrive in New York City via ocean liner in 1886 and quickly find themselves on a wild, cross-country journey aboard a transcontinental ""Orphan Train"" where they meet an extraordinary new friend who will change their lives forever."
947595.0,movie,tt11317914,Rock Bottom,Rock Bottom,1.564,0.0,2024-12-13,86,['ES'],ca,"[125050, 129929, 88315, 211922, 10082]","['Alba Sotorra', 'GS Animation', 'Jaibo Films', '3Cat', 'IB3']","['ES', 'PL', 'ES', 'ES', 'ES']",0,0,"['Animation', 'Drama', 'Music']",['María Trénor'],[0],"['Laura Casaña', 'Fermí Delfa', 'Omar Sanchís Gomez', 'Roger Riu Gasso', 'Lisa Reventós Papo', 'Daniel Masalles']","[0, 0, 0, 0, 0, 0]",[],[],['Joaquín Ojeda de Haro'],[0],[],[],"Inspired by the music and life of Robert Wyatt, ​“Rock Bottom” is a self-destructive love story between Bob and Alif, a young couple of artists immersed in the creative whirlwind of the early 70s hippie culture. Drugs will turn a passionate summer into a nightmare in a journey through the themes of Wyatt’s music: the euphoria and anguish of artistic creation, the unconscious fascination with drugs, the disenchantment with routine and physical and mental degradation."
588648.0,movie,tt7093904,Dragonkeeper,Dragonkeeper,147.262,7.6,2024-04-11,99,"['CN', 'ES']",zh,"[67412, 29566, 115983, 222691, 202198]","['Movistar+', 'Atresmedia', 'China Film Animation', 'Guardián de Dragones AIE', 'Telefonica']","['ES', 'ES', 'CN', '', '']",25600000,6206231,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']","['Jian-Ping Li', 'Salvador Simó']","[0, 2]","['Lucía Pérez', 'Mario Gas', 'Fernando Castro', 'Carlos de Luna', 'José Gómez Adán', 'César Díaz Capilla', 'Isabel Gaudí', 'Miquel Rodríguez Ros', 'Álvaro Navarro', 'Jorge Insúa', 'Yolanda Portillo', 'Margarita Aurora Hernández', 'Jonathan D. Mellor', 'Manuel de Andrés', 'Carmen Podio', 'Adrián Olvera', 'Fernando Serna', 'Iñigo Hoyo', 'Francisco Javier Martínez', 'Yang Enyou']","[0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]","['Xianping Wang', 'Carole Wilkinson', 'Pablo Castrillo', 'Rosanna Cecchini', 'Ignacio Ferreras']","[0, 0, 0, 0, 2]",['José Manuel Jiménez'],[2],[],[],"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper."
1280400.0,movie,tt28061840,Black Butterflies,Mariposas Negras,1.09,0.0,2024-12-05,83,"['PA', 'ES']",es,[],[],[],0,0,"['Animation', 'Documentary']",['David Baute'],[0],"['Laura Gómez', 'Bella Agossou', 'Miranda Gas', 'David Comrie', 'Jean-Didiere Aïssy', 'Maria Jesús Lleonart', 'Bernat Quintana', 'Mercè Montalà', 'Miranda Guerrero Vargas', 'Jaume Villanueva', 'Nicolás Infante Franco', 'Jordi Navarro', 'Celia Sol', 'Àlex Rodés', 'Elena Barra', 'Neus Sendra', 'Luis Torrelles Gallego', 'Roger Pera']","[1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",[],[],[],[],[],[],"Lobuin, Vanesa and Soma are three women from very different parts of the world who face the same problem: climate change. They will lose everything because of the effects of global warming and they will be forced to emigrate to survive."
1100998.0,movie,tt24659406,SuperKlaus,SuperKlaus,10.718,5.0,2024-11-01,88,"['CA', 'ES']",en,"[112266, 121337, 18882, 210206, 3631, 246979]","['3 Doubles Producciones', 'Capitán Araña', 'Groupe PVP', 'SMARTREK Films A.I.E.', 'Filmax', 'Pink Parrot Media (Distributor)']","['ES', 'ES', 'CA', '', 'ES', '']",0,0,"['Animation', 'Comedy', 'Family', 'Adventure']",['Steve Majaury'],[0],"['Harland Williams', 'Colm Feore', 'Millie Davis', 'Paul Van Dyck', 'Lucinda Davis', 'Antonio Daniel Hidalgo', 'Tallula Dinsmoore', 'Wyatt Bowen', 'Eleanor Noble']","[2, 2, 1, 2, 1, 2, 0, 2, 1]",[],[],[],[],[],[],"Santa Claus's wish comes true when he accidentally bumps his head and starts believing he's SuperKlaus. With the help of Billie and Leo his elf-xecutive assistant, SuperKlaus will take on a toy-obsessed businessman to save Christmas."
