tmdb_id,tmdb_type,imdb_id,Name,Gender,Birthday,Deathday,AKA,Department,Place_birth,Popularity,Biography
588973,person,nm1050097,Isaki Lacuesta,2,1975-01-01,,[],Directing,"Girona, Catalonia, Spain",3.146,"Isaki Lacuesta is a Spanish filmmaker from Catalonia, his work includes documentary film, narrative film and video art."
309,person,nm0000264,Pedro Almodóvar,2,1949-09-24,,"['Almodóvar', 'Pedro Almodóvar Caballero', '페드로 알모도바르', '阿莫多瓦', 'პედრო ალმოდოვარი', 'Педро Альмодовар', 'Pedro Almodovar', 'Almodovar-McNamara', 'Mateo Blanco', ""Harry 'Huracán' Caine"", 'Almodóvar & McNamara', 'Almodóvar y McNamara', 'Pepe Patatia', 'Pedro']",Directing,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",17.255,"Pedro Almodóvar Caballero (born 25 September 1949) is a Spanish film director, screenwriter and producer.  Almodóvar is arguably the most successful and internationally known Spanish filmmaker of his generation. His films, marked by complex narratives, employ the codes of melodrama and use elements of pop culture, popular songs, irreverent humor, strong colors, glossy décor and LGBT themes. Desire, passion, family and identity are among Almodóvar’s most prevalent themes. His films enjoy a worldwide following and he has become a major figure on the stage of world cinema.  He founded Spanish film production company El Deseo S.A. with his younger brother Agustín Almodóvar who has produced almost all of Pedro’s films. He was elected a Foreign Honorary Member of the American Academy of Arts and Sciences in 2001."
1064869,person,nm1534594,Aitor Arregi,2,1977-05-20,,[],Directing,"Oñati, Gipuzkoa, Euskal Herria",1.435,"Aitor Arregi Galdos (Oñati, 1977) is a Basque filmmaker. He is a member of the film production company Moriarti."
1302077,person,nm0248401,Arantxa Echevarría,1,,,[],Directing,"Bilbao, Spain",0.691,"Arantxa Echevarría Carcedo was born in 1968 in Bilbao. She studied a degree in Sciences of the Image and a specialization in audiovisual production at the Complutense University of Madrid, and pursued further studies at Sydney Community College. She has worked in cinema and television since 1991.  Her short film De noche y de pronto earned a nomination to the Goya Award for Best Fictional Short Film.  Her feature debut Carmen & Lola (2018) earned her the Goya Award for Best New Director, past her fifties. It was followed by her second feature The Perfect Family (2021). She also directed one episode of El Cid's first season. In 2022, she began shooting her third feature, Chinas."
932115,person,nm2315216,Paula Ortiz,1,1979-01-08,,[],Directing,"Zaragoza, Spain",4.131,"Paula Ortiz Álvarez is a Spanish director, screenwriter and producer who works for Get in the Pictures Productions and Amapola Films, teaches Audiovisual Communication at the University of Barcelona, and collaborates with the University of San Jorge in Zaragoza."
87015,person,nm0273464,Eduard Fernández,2,1964-08-25,,['Eduard Fernández Serrano'],Acting,"Barcelona, Spain",4.766,
1442192,person,nm5229490,Vito Sanz,2,,,[],Acting,,2.382,
225011,person,nm0998846,Alfredo Castro,2,1955-12-19,,[],Acting,"Recoleta, Santiago, Chile",6.241,"Alfredo Castro Gómez (Santiago, 19 de diciembre de 1955) is a Chilean actor. He holds a Bachelor of Arts degree in Theatre Acting from Universidad de Chile. Presently, he works as a theatre director, actor, pedagogue, playwright, and founder of Teatro La Memoria, a theatre company that marks a milestone in the history of contemporary Chilean theatre. In 2006, the company founded the Centro de Investigación Teatral (Center for Theatrical Investigation) and the Sala de Teatro: Teatro La Memoria (anintimate 100-seat playhouse).  As an actor and screenwriter, Alfredo Castro Gómez has participated in several films by Chilean director Pablo Larraín. These have included: Fuga (2006), Tony Manero (2008), and Post Mortem (2010)"
27462,person,nm0760664,Alberto San Juan,2,1968-11-01,,[],Acting,"  Madrid, Spain",1.015,
1603600,person,nm3802082,Patricia López Arnaiz,1,1981-04-15,,[],Acting,"Vitoria-Gasteiz, Spain",4.258,"Patricia López Arnaiz is a Spanish actress, known for The Plague, The Invisible Guardian and For 80 Days."
1231,person,nm0000194,Julianne Moore,1,1960-12-03,,"['茱莉安·摩爾', 'จูเลียน มัวร์', 'ジュリアン・ムーア', '줄리앤 무어', 'جوليان مور', 'Джуліанна Мур', '줄리안 무어', 'จูลีแอนน์ มัวร์']",Acting,"Fayetteville, North Carolina, USA",29.875,"Julie Anne Smith (born December 3, 1960), known professionally as Julianne Moore, is an American actress and author. Prolific in film since the early 1990s, she is particularly known for her portrayals of emotionally troubled women in independent films, as well as for her roles in blockbusters. She is the recipient of numerous accolades, including an Academy Award, a British Academy Film Award, two Golden Globe Awards, and two Emmy Awards.  After studying theater at Boston University, Moore began her career with a series of television roles. From 1985 to 1988, she was a regular in the soap opera As the World Turns, earning a Daytime Emmy Award for her performance. Her film debut was in Tales from the Darkside: The Movie (1990), and she continued to play small roles for the next four years, including in the thriller The Hand That Rocks the Cradle (1992). Moore first received critical attention with Robert Altman's Short Cuts (1993), and successive performances in Vanya on 42nd Street (1994) and Safe (1995) continued this acclaim. Starring roles in the blockbusters Nine Months (1995) and The Lost World: Jurassic Park (1997) established her as a Hollywood leading lady.  Moore received considerable recognition in the late 1990s and early 2000s, earning Academy Award nominations for Boogie Nights (1997), The End of the Affair (1999), Far from Heaven (2002) and The Hours (2002). In the first of these, she played a 1970s pornographic actress, while in the other three, she starred as a mid-20th century unhappy housewife. She also had success with the films The Big Lebowski (1998), Magnolia (1999), Hannibal (2001), Children of Men (2006), A Single Man (2009), The Kids Are All Right (2010), and Crazy, Stupid, Love (2011). She won a Primetime Emmy Award for her portrayal of Sarah Palin in the television film Game Change (2012). She won the Academy Award for Best Actress for her portrayal of an Alzheimer's patient in Still Alice (2014) and was named Best Actress at the Cannes Film Festival for her role in Maps to the Stars (2014). Among her highest-grossing releases are the final two films in the series The Hunger Games and the spy film Kingsman: The Golden Circle (2017).  In addition to her acting work, Moore has written a series of children's books about a character named ""Freckleface Strawberry"". In 2015, Time magazine named her one of the 100 most influential people in the world, and in 2020, The New York Times named her one of the greatest actors of the 21st century. She is married to director Bart Freundlich, with whom she has two children."
3063,person,nm0842770,Tilda Swinton,1,1960-11-05,,"['Lutz Ebersdorf', 'Matilda Swinton', 'ティルダ・スウィントン', 'Тильда Суинтон', '蒂尔达·斯温顿', '凯瑟琳·玛蒂尔达·斯温顿', 'Тільда Свінтон', 'Katherine Swinton', '蒂尔达·斯文顿 饰']",Acting,"London, England, UK",26.364,"Tilda Swinton (born Katherine Matilda Swinton; November 5, 1960) is an award-winning British actress of Scottish descent, known for her versatile roles in independent films and blockbusters. She is a recipient various accolades throughout her long career, including an Academy Award and two BAFTA Awards, in addition to being nominated for three Golden Globe Awards and five Screen Actors Guild Awards.  Swinton began her career by appearing in experimental films starting with Caravaggio (1986), followed by The Last of England (1988), War Requiem (1989), and The Garden (1990). She won the Volpi Cup for Best Actress at the Venice Film Festival for her portrayal of Isabella of France in Edward II (1991). She next starred in Sally Potter's Orlando (1992), for which she received a nomination for the European Film Award for Best Actress. She was nominated for a Golden Globe Award for her performance in The Deep End (2001), and followed this with appearances in Vanilla Sky (2001), Adaptation (2002), Constantine (2005), Julia (2008), and I Am Love (2009).  For the film Young Adam (2003), she won the British Academy Scotland Award for Best Actress. Her performance in Michael Clayton (2007) won her the Academy Award for Best Supporting Actress and the BAFTA Award for Best Actress in a Supporting Role. Additionally, she won the European Film Award for Best Actress and received a nomination for the BAFTA Award for Best Actress in a Leading Role for the psychological thriller We Need to Talk About Kevin (2011). Swinton has also played the White Witch in The Chronicles of Narnia series (2005–2010) and the Ancient One in the Marvel Cinematic Universe franchise.  Swinton was awarded the Richard Harris Award by the British Independent Film Awards in recognition of her contributions to the British film industry. In 2013, she was given a special tribute by the Museum of Modern Art. In 2020, Swinton was awarded the British Film Institute Fellowship, the highest honour presented by the institution, for her ""daringly eclectic and striking talents as a performer and film-maker and recognizes her great contribution to film culture, independent film exhibition and philanthropy."" That same year, The New York Times ranked her thirteenth on its list of the greatest actors of the 21st century up to that point."
58285,person,nm0897401,Emma Vilarasau,0,,,[],Acting,,0.001,
1400178,person,nm2871370,Pepe Lorente,2,,,['Пепе Лоренте'],Acting,,3.573,
2484837,person,nm9311929,Daniel Ibáñez,2,,,[],Acting,,1.908,
1572393,person,nm4200653,Javier Macipe,2,,,[],Directing,"Zaragoza, Spain",0.001,
3627,person,nm0891895,Paz Vega,1,1976-01-02,,"['Пас Вега', 'Пас Кампос Тріго', 'Paz Campos Trigo', '파스 베가', 'María Paz Campos Trigo', 'María de la Paz Campos']",Acting,"Seville, Andalusia, Spain",19.089,"Paz Campos Trigo (born January 2, 1976), better known as Paz Vega, is a Spanish actress. She became popular for her performance in the comedy television series, 7 Vidas. Her notable film credits include Sex and Lucia (2001), Spanglish (2004), and Rambo: Last Blood (2019)"
2796385,person,nm8568756,Sandra Romero Acevedo,1,1993-01-01,,['Sandra Romero'],Directing,"Écija, Spain",0.001,"Sandra Romero studied journalism at the University of Seville and later she graduated on film directing at ECAM (Madrid Film School). In the film school she made two short films: Ashes (2017) and A Room of One's Own (2019), premiered at the 16th Seville European Film Festival (16th SEFF). Her third short film, Where the Silence Passes (2020), produced by 93 Metros and Mammut Films, has been selected in the official sections of the 28th Medina del Campo Film Week and the 23rd Málaga Film Festival."
2231098,person,nm9328828,Miguel Faus,2,1992-06-03,,[],Directing,,0.979,"Writer / Director from Barcelona. Known for his short films ""The Death of Don Quixote"" and ""Calladita"". Cited by Variety in 2021 as one of ""10 on the Rise Cineastes from Spain""."
3483,person,nm0209409,Antonio de la Torre,2,1968-01-18,,[],Acting,"Málaga, Spain",3.422,"Antonio de la Torre Martín (born 18 January 1968) is a Spanish actor.  De la Torre is the actor with most nominations overall to the Goya Awards. He won the Goya Award for Best Supporting Actor for Dark Blue Almost Black in 2007, whereas he earned the Goya Award for Best Actor for The Realm in 2019. He has starred in many films directed by Daniel Sánchez Arévalo, with whom he collaborated for the first time in the short film Profilaxis (2003)."
1436707,person,nm3606001,Enric Auquer,2,1988-03-10,,['Enric Auquer i Sardà'],Acting,"Rupià, Baix Empordà, Catalunya, Spain",2.868,
1413918,person,nm1892699,Salva Reina,2,1978-04-09,,[],Acting,"Málaga, Spain",5.176,
16867,person,nm0869088,Luis Tosar,2,1971-10-13,,"['Luis López Tosar ', ' ლუის ტოსარი', 'Luís L. Tosar', 'Luís Tosar', 'Luís Tósar', 'Luis Tósar', 'Luís L. Tósar', 'Luís López Tósar', 'Luis Lopez Tosar', '路易斯·托薩']",Acting,"Lugo, Galicia, Spain",8.844,"Luis Tosar (born 13 October 1971) is a Galician actor. Born in Cospeito, Galicia, Spain, on 13th October 1971, he is best known internationally for his villain role in Miami Vice."
1091128,person,nm3475396,Macarena García,1,1988-04-26,,"['마카레나 가르시아', 'Macarena García de la Camacha Gutiérrez-Ambrossi']",Acting,"Madrid, Community of Madrid, Spain",4.208,"Macarena García de la Camacha Gutiérrez-Ambrossi was born in Madrid (1988). She is a spanish actress, known for Blancanieves (2012), The Ministry of Time (2015), Palm Trees in the Snow (2015), Holy Camp! (2017) and Advantages of Travelling by Train (2019)."
1881658,person,nm4078485,Maria Rodríguez Soto,1,,,"['Maria Rodríguez', 'María Rodríguez', '마리아 로드리게스 소토', 'María Rodríguez Soto']",Acting,,7.271,"Maria Rodríguez Soto is a Spanish stage, film and television actress."
33410,person,nm1443814,Clara Segura,1,1974-05-06,,[],Acting,"Sant Just Desvern, Spain",4.342,
1062000,person,nm0094678,Nausicaa Bonnín,1,1985-04-28,,"['Nausicaa Bonnín i Dufrenoy', 'Nausicaa Bonnín Dufrenoy']",Acting,"Barcelona, Spain",2.327,
146300,person,nm1938814,Aixa Villagrán,1,1978-07-12,,[],Acting,"Seville, Andalusia, Spain",5.683,"Aixa Villagrán is an actress, known for Mataharis (2007), Carlos contra el mundo (2002) and Los hombres de Paco (2005)."
