tmdb_id,tmdb_type,imdb_id,Name,Gender,Birthday,Deathday,AKA,Department,Place_birth,Popularity,Biography
1190668,person,nm3154303,Timothée Chalamet,2,1995-12-27,,"['티모시 샬라메', 'ტიმოთი შალამე', '蒂莫西·柴勒梅德', 'Τιμοτέ Σαλαμέ', 'טימותי שאלאמה', '蒂莫西·查拉梅', '提摩西·夏勒梅', ' ტიმოთი შალამე', 'ティム', 'ティミー', '提莫西·查拉梅', 'ティモテ・シャラメ']",Acting,"Manhattan, New York City, New York, USA",154.046,"Timothée Hal Chalamet (born December 27, 1995) is an American actor.  He began his career appearing in the drama series Homeland in 2012. Two years later, he made his film debut in the comedy-drama Men, Women & Children and appeared in Christopher Nolan's science fiction film Interstellar. He came into attention in Luca Guadagnino's coming-of-age film Call Me by Your Name (2017). Alongside supporting roles in Greta Gerwig's films Lady Bird (2017) and Little Women (2019), he took on starring roles in Beautiful Boy (2018) and Dune (2021)."
5469,person,nm0000146,Ralph Fiennes,2,1962-12-22,,"['レイフ・ファインズ', 'רייף פיינס', '雷夫·范恩斯', 'Рейф Файнс', 'ریف فاینز', '랄프 파인즈']",Acting,"Ipswich, Suffolk, England, UK",60.857,"Ralph Nathaniel Twisleton-Wykeham-Fiennes (born 22 December 1962) is an English actor, film producer, and director. Since 1999, Fiennes has served as an ambassador for UNICEF UK. A Shakespeare interpreter, he first achieved success onstage at the Royal National Theatre. He made his film debut playing Heathcliff in Emily Brontë's Wuthering Heights. He has been nominated for three Academy Awards.  A noted Shakespeare interpreter, he first achieved success onstage at the Royal National Theatre. Fiennes' portrayal of Nazi war criminal Amon Göth in Schindler's List (1993) earned him nominations for the Academy Award for Best Supporting Actor and the Golden Globe Award for Best Supporting Actor, and he won the BAFTA Award for Best Actor in a Supporting Role. His performance as Count Almásy in The English Patient (1996) garnered him a second Academy Award nomination, for Best Actor, as well as BAFTA and Golden Globe nominations.  Since then, Fiennes has been in a number of notable films, including Quiz Show (1994), Strange Days (1995), The End of the Affair (1999), Red Dragon (2002), The Constant Gardener (2005), In Bruges (2008), The Reader (2008), Clash of the Titans (2010), Great Expectations (2012), and The Grand Budapest Hotel (2014). He voiced Rameses in The Prince of Egypt (1998).  Fiennes is most known for his role in the major film franchise series of Harry Potter films (2005–2011), in which he played the main villain, Lord Voldemort. In the James Bond series he played Gareth Mallory / M, starting with the 2012 film Skyfall.  In 2011, Fiennes made his directorial debut with his film adaptation of Shakespeare's tragedy Coriolanus, in which he also played the title character. Fiennes won a Tony Award for playing Prince Hamlet on Broadway."
3490,person,nm0004778,Adrien Brody,2,1973-04-14,,"['Byron Deidra', 'Adrien Nicholas Brody', 'Едрієн Броуді', '애드리언 브로디', 'Эдриан Броуди', 'Эдриен Броуди', '阿德里安·布劳迪']",Acting,"Woodhaven, Queens, New York City, New York, USA",35.504,"Adrien Nicholas Brody (born April 14, 1973) is an American actor. He is known for his portrayal of Władysław Szpilman in Roman Polanski's war drama The Pianist (2002), for which he won the Academy Award for Best Actor at age 29, becoming the youngest actor to win in that category. He also became the second American male actor to win the César Award for Best Actor for the same film. For his role as a Holocaust survivor who emigrated to the United States in The Brutalist (2024), he won a Golden Globe Award for Best Actor. He received his second Oscar nomination for Best Actor.  Brody has also starred in The Thin Red Line (1998), The Village (2004), King Kong(2005), Hollywoodland (2006), Cadillac Records (2008), Predators (2010), and See How They Run (2022). He has frequently collaborated with filmmaker Wes Anderson, appearing in his films The Darjeeling Limited (2007), Fantastic Mr. Fox (2009), The Grand Budapest Hotel (2014), The French Dispatch (2021), and Asteroid City (2023). He portrayed Salvador Dalí in Woody Allen's Midnight in Paris (2011) and Arthur Miller in Andrew Dominik's Blonde (2022).  On television, he has played Luca Changretta in the fourth season of the BBC series Peaky Blinders (2017) and Pat Riley in the HBO sports drama series Winning Time: The Rise of the Lakers Dynasty (2022–2023). He earned Primetime Emmy Award nominations for his roles as Harry Houdini in the History Channel miniseries Houdini(2014) and investor Josh Aaronson in the HBO series Succession (2021).  Description above from the Wikipedia article Adrien Brody, licensed under CC-BY-SA, full list of contributors on Wikipedia."
91671,person,nm0231458,Colman Domingo,2,1969-11-28,,"['Κόλμαν Ντομίνγκο', 'Coleman Domingo', 'קולמן דומינגו', 'קולמן דומניגו', 'Colman Jason Domingo', '科爾曼·多明戈']",Acting,"Philadelphia, Pennsylvania, USA",14.577,"Colman Jason Domingo (born November 28, 1969) is an American actor, playwright, and director. Prominent on both screen and stage since the 2010s, Domingo has received various accolades, including a Primetime Emmy Award, and nominations for an Academy Award and two Tony Awards. Time magazine named him one of the 100 most influential people in the world in 2024.  Domingo's early Broadway roles include the 2005 play Well and the 2008 musical Passing Strange. He gained acclaim for his role as Mr. Bones in the Broadway musical The Scottsboro Boys (2011), for which he was nominated for the Tony Award for Best Featured Actor in a Musical. He reprised the role in the 2014 West End production, receiving a nomination for the Laurence Olivier Award for Best Performance in a Supporting Role in a Musical. In 2018, he wrote the book for the Broadway musical Summer: The Donna Summer Musical.  After early roles in various incarnations of the Law & Order series and as part of the main cast for The Big Gay Sketch Show, Domingo had his breakthrough playing Victor Strand in the AMC series Fear the Walking Dead (2015–2023). He gained wider acclaim for his recurring role as the recovering drug addict Ali on the HBO series Euphoria (2019–present), winning the Primetime Emmy Award for Outstanding Guest Actor in a Drama Series in 2022.  Domingo received a nomination for the Academy Award for Best Actor for his portrayal of civil rights activist Bayard Rustin in the Netflix biopic Rustin (2023). His other notable film appearances include roles in Lincoln (2012), The Butler (2013), Selma (2014), If Beale Street Could Talk (2018), Ma Rainey's Black Bottom (2020), Zola (2021), The Color Purple (2023), and Sing Sing (2023).  Description above from the Wikipedia article Colman Domingo, licensed under CC-BY-SA, full list of contributors on Wikipedia."
60898,person,nm1659221,Sebastian Stan,2,1982-08-13,,"['Σεμπάστιαν Σταν', '세바스찬 스탠', 'セバスチャン・スタン', 'סבסטיאן סטן', 'Себастија Стен', 'Sebastijan Sten', 'Себастиан Стан', '賽巴斯汀·史坦', '賽巴斯汀·斯坦', 'סבסטיאן סטאן.']",Acting,"Constanta, Romania",36.787,"Sebastian Stan (born August 13, 1982) is a Romanian-American actor. He gained recognition for his role as Bucky Barnes / Winter Soldier in the Marvel Cinematic Universe media franchise, beginning with 2011's Captain America: The First Avenger. He later returned in Captain America: The Winter Soldier (2014), and went on to star in Captain America: Civil War (2016), Avengers: Infinity War (2018), Avengers: Endgame (2019) and The Falcon and the Winter Soldier (2021).  On television, he has played Carter Baizen in Gossip Girl, Prince Jack Benjamin in Kings, Jefferson in Once Upon a Time, and T.J. Hammond in Political Animals. The latter earned him a nomination for the Critics' Choice Television Award for Best Supporting Actor in a Movie/Miniseries. In films, he co-starred in Jonathan Demme's comedy-drama Ricki and the Flash and Ridley Scott's science fiction film The Martian. In 2017, he portrayed Jeff Gillooly in the biopic I, Tonya, and in 2022, he stars in the miniseries Pam & Tommy."
1640439,person,nm5700898,Mikey Madison,1,1999-03-25,,"[' Mikaela Madison Rosberg', '미키 매디슨']",Acting,"Los Angeles, California, USA",60.725,"Mikey Madison (born March 25, 1999) is an American actress known for her roles in Once Upon a Time in Hollywood (2019), Scream (2022) and Anora (2024)."
87335,person,nm0868639,Fernanda Torres,1,1965-09-14,,['Фернанда Торрес'],Acting,"Rio de Janeiro, Rio de Janeiro, Brazil",15.668,"Fernanda Pinheiro Torres (Rio de Janeiro, September 15, 1965), is a Brazilian actress, writer, columnist and screenwriter. She is the daughter of Oscar-nominated actress Fernanda Montenegro and actor Fernando Torres.  In May 1986, she received the Best Actress Award at Cannes Festival for Arnaldo Jabor's ""Eu Sei Que Vou Te Amar"", at the age of 20.  She's married to movie producer and director Andrucha Waddington, who directed her and her mother in the 2005 film ""The House of Sand"". They have two sons together, Joaquim (b. 2000) and Antônio (born on April 10, 2008). She is also the stepmother of João (b. 1993) and Pedro (b. 1995).  In 2003, she wrote her first script (""O Redentor"", 2004), with the assistance of her brother, cinematographer Cláudio Torres.  In 2025, she received the Golden Globe award for Best Actress in a Motion Picture - Drama."
3416,person,nm0000193,Demi Moore,1,1962-11-11,,"['Demetria Gene Guynes', 'Демі Джин Ґайнз', '데미 무어', 'Demi Guynes Kutcher', 'デミ・ムーア', 'Demi Guynes', 'Demi Gene Guynes']",Acting,"Roswell, New Mexico, USA",68.669,"Demi Gene Moore (/dəˈmiː/ də-MEE; née Guynes; born November 11, 1962) is an American actress. After rising to prominence in the early 1980s, Moore became the world's highest-paid actress in 1995. Her accolades include a Golden Globe Award and nominations for a British Academy Film Award, a Primetime Emmy Award and a Academy Award.  Moore began her career as a model and joined the cast of the soap opera General Hospital in 1981. After departing the show in 1983, she rose to prominence as a member of the Brat Pack, with roles in the films Blame It on Rio (1984), St. Elmo's Fire (1985), and About Last Night... (1986). She emerged as a star with her portrayal of a grieving artist in the romance film Ghost (1990), had further box office success in A Few Good Men(1992), Indecent Proposal (1993), and Disclosure(1994), and received a then-unprecedented $12.5 million to star in Striptease (1996).  Moore's output decreased significantly after The Scarlet Letter (1995), The Juror (1996), and G.I. Jane (1997) fell below commercial expectations. She has since held sporadic leading roles in arthouse films, supporting roles in Charlie's Angels: Full Throttle (2003), Bobby (2006), Mr. Brooks (2007), and Margin Call (2011), as well as television credits in If These Walls Could Talk(1996), Empire (2017–2018), and Feud: Capote vs. The Swans (2024). She received renewed critical recognition for her performance as an ageing celebrity in the body horror film The Substance (2024).  Moore has been married three times. From 1981 to 1985, she was married to musician Freddy Moore. From 1987 to 2000, she was married to Bruce Willis, with whom she has three daughters. She was married to Ashton Kutcher from 2005 to 2013. Her memoir Inside Out(2019) became a New York Times Best Seller.  Description above from the Wikipedia article Demi Moore, licensed under CC-BY-SA, full list of contributors on Wikipedia."
1505938,person,nm1035423,Karla Sofía Gascón,1,1972-03-31,,['Carlos Gascón'],Acting,"Madrid, Spain",27.301,"Karla Sofía Gascón (born 31 March 1972) is a Spanish actress. She has appeared in several telenovelas and films, including Emilia Pérez, El Señor de los Cielos, and The Noble Family. She has received numerous awards, including the Prix d'interprétation féminine at the Cannes International Film Festival. She has also received BAFTA, Screen Actors Guild, Critics' Choice, Golden Globe, and Academy Award nominations."
1765068,person,nm7248827,Cynthia Erivo,1,1987-01-08,,['Cynthia Chinasaokwu Onyedinmanasu Erivo'],Acting,"Stockwell, London, England, UK",28.106,"Cynthia Chinasaokwu Onyedinmanasu Erivo (/əˈriːvoʊ/ ə-REE-voh; born 8 January 1987) is a British actress and singer. She has received several accolades, including a Daytime Emmy Award, a Grammy Award, and a Tony Award, as well as nominations for two Academy Awards and four Golden Globe Awards. She is one of only a few artists to have received nominations for the EGOT.  Erivo made her West End debut in the stage musical The Umbrellas of Cherbourg (2011). She later made her Broadway debut playing Celie, a woman suffering abuse in the Deep South, in the musical revival of The Color Purple from 2015 to 2017. Her work earned her the 2016 Tony Award for Best Actress in a Musical and the 2017 Grammy Award for Best Musical Theatre Album. She expanded to films in 2018 with the crime films Widows and Bad Times at the El Royale. For her portrayal of Harriet Tubman in the biopic Harriet (2019), Erivo received a nomination for the Academy Award for Best Actress; she also wrote and performed the song ""Stand Up,"" which gained her a nomination for Best Original Song. She has since starred as Elphaba in the musical fantasy film Wicked (2024).  On television, she played Holly Gibney in the HBO crime drama miniseries The Outsider (2020) and Aretha Franklin in National Geographic's anthology series Genius: Aretha (2021), the latter of which earned her a nomination for a Primetime Emmy Award for Outstanding Lead Actress. As a singer, she has released singles as well as her solo album, Ch. 1 Vs. 1 (2021).  Description above from the Wikipedia article Cynthia Erivo, licensed under CC-BY-SA, full list of contributors on Wikipedia."
