Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
2025,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,La casa,tt8038682,"['Álex Montoya', 'Joana M. Ortueta']","['nm0600257', 'nm3672595']",,
2025,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,La habitación de al lado,tt29439114,['Pedro Almodóvar'],['nm0000264'],,
2025,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Los destellos,tt26923334,['Pilar Palomero'],['nm1970178'],,
2025,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Salve Maria,tt21920688,"['Mar Coll', 'Valentina Viso']","['nm2025290', 'nm2077038']",,
2025,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Soy Nevenka,tt30973261,"['Icíar Bollaín', 'Isa Campo']","['nm0093081', 'nm3040373']",,
2025,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Buffalo Kids,tt26530493,"['Juan Jesús García Galocha', 'Pedro Solís García', 'Marc Sabé', 'Jaime Ortiz de Artiñano', 'Clever Beretta Custodio', 'Ignacio Salazar-Simpson', 'Jordi Gasull', 'Ricardo Marco Budé', 'Toni Novella', 'Francisco Celma']","['nm5231416', 'nm3433064', 'nm7864045', 'nm2952186', 'nm10976045', 'nm0757661', 'nm0309027', 'nm7864046', 'nm0637013', 'nm9532035']",,
2025,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Rock Bottom,tt11317914,"['María Trénor', 'Marcin Wasilewski', 'Wojciech Leszczynski', 'Adán Aliaga', 'Miguel Molina', 'Dani Bagur', 'Robert Jaszczurowski', 'Lukasz Kacprowicz', 'Anna Mroczek', 'Alba Sotorra']","['nm1556151', 'nm2977103', 'nm7512373', 'nm1226774', 'nm3005868', 'nm14496262', 'nm6436740', 'nm2978174', 'nm7512374', 'nm5159658']",,
2025,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Dragonkeeper (Guardiana de dragones),tt7093904,"['Salvador Simó', 'Aurora de Cos', 'Mingyu Peng', 'Ruoqing Fu', 'Yang Lihe', 'Song Weiwei', 'Jianping Li', 'Tro Juanyu', 'Larry Levene', 'Pedro Pérez']","['nm1050535', 'nm16842279', 'nm3126318', 'nm6206178', 'nm11984629', 'nm11984626', 'nm4061621', 'nm16842280', 'nm1982968', 'nm14601436']",,
2025,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Mariposas Negras,tt28061840,"['Marc Sabé', 'Cesar Zelada', 'David Baute', 'Edmon Roch']","['nm7864045', 'nm8813915', 'nm3930122', 'nm0733730']",,
2025,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,SuperKlaus,tt24659406,"['Steve Majaury', 'Andrea Sebastiá', 'Nacho La Casa', 'Francois Trudel', 'Dario Sanchez Diaz']","['nm0538037', 'nm14331475', 'nm4385418', 'nm3081231', 'nm8099167']",,
2025,BestAnimatedShortFilm(MejorCortometrajedeAnimación),Nominee,Cafunè,tt31414422,"['Carlos Fernandez de Vigo', 'Lorena Ares', 'Sergy Moreno', 'Mintxo Diaz', 'Damián Perea']","['nm5813583', 'nm4734236', 'nm4691795', 'nm5275966', 'nm0672986']",,
2025,BestAnimatedShortFilm(MejorCortometrajedeAnimación),Nominee,El cambio de rueda,tt33069728,"['Bego Arostegui', 'Fernando Franco', 'Elías León Siminiani', 'Ainhoa Ramírez']","['nm2888232', 'nm1136120', 'nm1119672', 'nm4774420']",,
2025,BestAnimatedShortFilm(MejorCortometrajedeAnimación),Nominee,La mujer Ilustrada,tt29930823,"['Isabel Herguera', 'Diego Herguera Acosta']","['nm1970567', 'nm15470536']",,
