Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
1987,BestCinematography(MejorFotografía),Winner,El amor brujo,tt0090636,['Teo Escamilla'],['nm0005700'],,
1987,BestCinematography(MejorFotografía),Nominee,La mitad del cielo,tt0091531,['José Luis Alcaine'],['nm0003900'],,
1987,BestCinematography(MejorFotografía),Nominee,Werther,tt0092200,['Hans Burmann'],['nm0005663'],,
1987,BestCostumeDesign(MejorDiseñodeVestuario),Winner,El amor brujo,tt0090636,['Gerardo Vera'],['nm0893536'],,
1987,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Dragon Rapide,tt0090969,"['Elisa Ruiz', 'Javier Artiñano']","['nm0749739', 'nm0037919']",,
1987,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,La mitad del cielo,tt0091531,['Gerardo Vera'],['nm0893536'],,
1987,BestDirector(MejorDirector),Winner,El viaje a ninguna parte,tt0090259,,,Fernando Fernán Gómez,nm0273178
1987,BestDirector(MejorDirector),Nominee,Werther,tt0092200,,,Pilar Miró,nm0592636
1987,BestDirector(MejorDirector),Nominee,Lulú de noche,tt0089521,,,Emilio Martínez Lázaro,nm0554880
1987,BestEditing(MejorMontaje),Winner,Banter,tt0090696,['Eduardo Biurrun'],['nm0084612'],,
1987,BestEditing(MejorMontaje),Nominee,El viaje a ninguna parte,tt0090259,['Pablo G. del Amo'],['nm0215327'],,
1987,BestEditing(MejorMontaje),Nominee,Werther,tt0092200,['José Luis Matesanz'],['nm0558337'],,
1987,BestFilm(MejorPelícula),Winner,El viaje a ninguna parte,tt0090259,['Ganesh Producciones Cinematográficas'],[''],,
1987,BestFilm(MejorPelícula),Nominee,La mitad del cielo,tt0091531,['Luis Megino'],[''],,
1987,BestFilm(MejorPelícula),Nominee,27 horas,tt0090561,['Elías Querejeta Producciones Cinematográficas'],[''],,
1987,BestLeadActor(MejorActorPrincipal),Winner,Mambrú se fue a la guerra,tt0089541,,,Fernando Fernán Gómez,nm0273178
1987,BestLeadActor(MejorActorPrincipal),Nominee,Dragon Rapide,tt0090969,,,Juan Diego,nm0225921
1987,BestLeadActor(MejorActorPrincipal),Nominee,El año de las luces,tt0090679,,,Jorge Sanz,nm0764450
1987,BestLeadActress(MejorActrizPrincipal),Winner,Hay que deshacer la casa,tt0091181,,,Amparo Rivelles,nm0729153
1987,BestLeadActress(MejorActrizPrincipal),Nominee,La mitad del cielo,tt0091531,,,Ángela Molina,nm0596807
1987,BestLeadActress(MejorActrizPrincipal),Nominee,Tiempo de silencio,tt0092093,,,Victoria Abril,nm0000721
1987,BestMake-Up(MejorMaquillaje),Winner,Dragon Rapide,tt0090969,['Fernando Florido'],['nm0283028'],,
1987,BestMake-Up(MejorMaquillaje),Nominee,El viaje a ninguna parte,tt0090259,['José Antonio Sánchez'],['nm0844997'],,
1987,BestOriginalScore(MejorMúsicaOriginal),Winner,La mitad del cielo,tt0091531,['Milladoiro'],['nm0587602'],,
1987,BestOriginalScore(MejorMúsicaOriginal),Nominee,Dragon Rapide,tt0090969,['Xavier Montsalvatge'],['nm0600312'],,
1987,BestOriginalScore(MejorMúsicaOriginal),Nominee,El disputado voto del Sr. Cayo,tt0090949,['Emilio Arrieta'],['nm0037291'],,
1987,BestProductionDesign(MejorDirecciónArtística),Winner,Dragon Rapide,tt0090969,['Félix Murcia'],['nm0613712'],,
1987,BestProductionDesign(MejorDirecciónArtística),Nominee,Bandera negra,tt0090694,['Ramiro Gómez'],['nm0003338'],,
