Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1928,BestActorinaLeadingRole,Winner,Emil Jannings,nm0417837,La última orden,tt0019071,,
1928,BestActorinaLeadingRole,Nominee,Richard Barthelmess,nm0001932,La última pena,tt0019217,,
1928,BestActorinaLeadingRole,Nominee,Richard Barthelmess,nm0001932,El mundo que nace,tt0018253,,
1928,BestActressinaLeadingRole,Winner,Janet Gaynor,nm0310980,El séptimo cielo,tt0018379,,
1928,BestActressinaLeadingRole,Nominee,Louise Dresser,nm0237571,Emigrantes,tt0018389,,
1928,BestActressinaLeadingRole,Nominee,Gloria Swanson,nm0841797,La frágil voluntad,tt0019344,,
1928,BestArtDirection,Winner,,,El mejor caballero,tt0017822,['William Cameron Menzies'],['nm0580017']
1928,BestArtDirection,Nominee,,,Tempestad,tt0019451,['William Cameron Menzies'],['nm0580017']
1928,BestArtDirection,Nominee,,,El séptimo cielo,tt0018379,['Harry Oliver'],['nm0646856']
1928,BestArtDirection,Nominee,,,Amanecer,tt0018455,['Rochus Gliese'],['nm0322843']
1928,BestCinematography,Winner,,,Amanecer,tt0018455,"['Charles Rosher', 'Karl Struss']","['nm0003546', 'nm0835365']"
1928,BestCinematography,Nominee,,,La danzarina sagrada,tt0017806,['George Barnes'],['nm0055604']
1928,BestCinematography,Nominee,,,La llama mágica,tt0018129,['George Barnes'],['nm0055604']
1928,BestCinematography,Nominee,,,La frágil voluntad,tt0019344,['George Barnes'],['nm0055604']
1928,"BestDirector,ComedyPicture",Winner,Lewis Milestone,nm0587277,Hermanos de armas,tt0018515,,
1928,"BestDirector,ComedyPicture",Nominee,Ted Wilde,nm0928514,Relámpago,tt0019412,,
1928,"BestDirector,DramaticPicture",Winner,Frank Borzage,nm0097648,El séptimo cielo,tt0018379,,
1928,"BestDirector,DramaticPicture",Nominee,Herbert Brenon,nm0107543,El capitán Sorrell,tt0018429,,
1928,"BestDirector,DramaticPicture",Nominee,King Vidor,nm0896542,Y el mundo marcha,tt0018806,,
