tmdb_id,tmdb_type,imdb_id,Name,Gender,Birthday,Deathday,AKA,Department,Place_birth,Popularity,Biography
965.0,person,nm0273178,Fernando Fernán Gómez,2,1921-08-28,2007-11-21,"['Fernando Fernández Gómez', 'Fernando Fernán-Gómez', 'Фернандо Фернан Гомес']",Acting,"Lima, Peru",2.896,"Fernando Fernán Gómez was a Spanish actor, novelist and screenwriter, film and theater director, and member of the Royal Spanish Academy."
125209.0,person,nm0592636,Pilar Miró,1,1940-04-20,1997-10-19,['Pilar Mercedes Miró Romero'],Directing,"  Madrid, Spain",1.225,
27449.0,person,nm0554880,Emilio Martínez Lázaro,2,,,[],Directing,,3.081,
37580.0,person,nm0225921,Juan Diego,2,1942-12-14,2022-04-28,['Juan Diego Ruiz Montero'],Acting,"Sevilla, Spain",10.28,"Juan Diego was born on December 14, 1942 in Bormujos, Seville, Andalucía (Spain). He was an actor (cinema, TV and theater) and producer, known for La muerte de un viajante (1972), Cabeza de Vaca (1991), Padre Coraje (2002), Los hombres de Paco (2005), El triunfo (2006) and The Cover (2021). He died on April 28, 2022 in Madrid, Spain."
145414.0,person,nm0764450,Jorge Sanz,2,1969-08-26,,['Jorge Sanz Miranda'],Acting,"Madrid, Spain",16.698,"Jorge Sanz was born on August 26, 1969 in Madrid.  The son of a military man, he is the youngest of five siblings and probably would have followed a military career following in his father's footsteps, but his mother took him to an audition when he was nine years old and he was cast as Jane Birkin's son in the film La Miel (1979) directed by Pedro Masó, beginning a prolific career as a child actor mostly in commercial films such as Conan the Barbarian (1982), alongside Arnold Schwarzenegger.  His collaborations with Fernando Trueba and Vicente Aranda made him the most sought-after young actor of those years.  He worked in films such as Mambrú se fue a la guerra, directed by Fernando Fernán Gómez and El año de las luces, by Trueba, where he worked for the first time with Maribel Verdú.  He has been nominated six times for the Goya Award, winning it in 1989 for his performance in Si te dicen que caí. He has also won a revelation award at the San Sebastian Film Festival and two more as best actor at the Nimes Film Festival."
935039.0,person,nm0729153,Amparo Rivelles,1,1925-02-12,2013-11-07,"['Amparito Rivelles', 'Ампаро Ривельес']",Acting,"Madrid, Madrid, Spain",15.637,"María Amparo Rivelles Ladrón de Guevara (11 February 1925 – 7 November 2013) was a Spanish actress, known as Amparo Rivelles. She worked in Mexican films and telenovelas. She was the daughter of actor Rafael Rivelles and actress María Fernanda Ladrón de Guevara, and the half-sister of actor Carlos Larrañaga.  During her long career, she earned a LatinACE award, a Goya Award, as well as a National Theater Prize."
3822.0,person,nm0596807,Ángela Molina,1,1955-10-05,,"[' Angela Molina', ' Ángela Molina Tejedor ', 'Анхела Молина']",Acting,"Madrid, Madrid, Spain",30.404,"Ángela Molina (born 5 October 1955) is a Spanish actress, and a daughter of Antonio Molina, Spanish singer and actor."
25256.0,person,nm0000721,Victoria Abril,1,1959-07-04,,"['Victoria Mérida Rojas', '빅토리아 아브릴', 'ვიქტორია აბრილი']",Acting,"  Madrid, Spain",19.606,"Victoria Abril (born Victoria Mérida Rojas; 4 July 1959) is a Spanish film actress and singer. She is best known to international audiences for her performance in the movie ¡Átame! (Tie Me Up! Tie Me Down!).  Born in Madrid, Abril became widely known in Spain in 1976 when she appeared for two years in the show Un, dos, tres... responda otra vez. Besides working in Spain, she also made films in France, where she resides, Italy, and Iceland. She has been nominated eight times for Goya Awards in the Lead Actress category and has won once. She won the Silver Bear for Best Actress at the 41st Berlin International Film Festival for her role in Amantes. Two years later, she was awarded with the Berlinale Camera at the 43rd Berlin International Film Festival.  Victoria Abril performing on stage in 2006.  She is also a singer. In 2005, she made her debut with a bossanova-jazz album called PutchEros do Brasil. She also tried to represent Spain in the Eurovision Song Contest in 1979 with ""Bang-Bang-Bang"", but Betty Missiego was chosen instead."
81848.0,person,nm0718829,Miguel Rellán,2,1943-11-07,,"['Miguel Ángel Rellán García', 'Miguel Ángel Rellán']",Acting,"Tétouan, Morocco",3.12,
115482.0,person,nm0328020,Agustín González,2,1929-03-24,2005-01-16,"['Agustín González Martínez', 'Agustin Gonzalez', 'Agustín Gonzalez', 'Agustin González']",Acting,"Madrid, Madrid, Spain",5.829,"Agustín González Martínez (24 March 1930 in Linares – 16 January 2005 in Madrid) was a Spanish actor who appeared in more than 180 films, including El nido (1980), by Jaime de Armiñan; Volver a empezar (1981), by José Luis Garci; La colmena (1982), by Mario Camús; Dos mejor que uno (1984), by Ángel Llorente and Las bicicletas son para el verano (1984), by Fernando Fernán Gómez.  Description above from the Wikipedia article Agustín González (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia."
3131.0,person,nm0000104,Antonio Banderas,2,1960-08-10,,"['José Antonio Domínguez Banderas', 'ホセ・アントニオ・ドミンゲス・バンデラス', '安東尼奧·班德拉斯']",Acting,"Málaga, Andalusia, Spain",48.454,"José Antonio Domínguez Bandera (born August 10, 1960), known professionally as Antonio Banderas, is a Spanish actor and singer. Known for his work in films of several genres, he has received various accolades, including a Cannes Film Festival Award and a European Film Award, in addition to nominations for an Academy Award, a Tony Award, two Primetime Emmy Awards, and five Golden Globe Awards.  Banderas made his film debut in Pedro Almodóvar's screwball comedy Labyrinth of Passion (1982). They've since collaborated together on many films including Matador (1986), Law of Desire (1987), Women on the Verge of a Nervous Breakdown (1988), Tie Me Up! Tie Me Down! (1989), and The Skin I Live In (2011). For the 2019 film Pain and Glory, Banderas earned various accolades for Best Actor including the Cannes Film Festival Award, Goya Award, and as well as nominations from the Academy Awards and Golden Globe Awards.  He's also known for several Hollywood films, such as Philadelphia (1993), Interview with the Vampire (1994), Desperado (1995), Assassins (1995), Evita (1996), and The Mask of Zorro (1998). He also appeared in the first three films of the Spy Kids series (2001-2003) and provided the voice of Puss in Boots in the Shrek franchise (2004–present) and its spin-off films Puss in Boots (2011) and Puss in Boots: The Last Wish (2022).  In 2003, Banderas made his US theatre debut as Guido Contini in Nine, for which he was nominated for a Tony Award and won a Drama Desk Award. He received Primetime Emmy Award nominations for his roles in the television film And Starring Pancho Villa as Himself (2004) and the second season of Genius (2018); his portrayal of Pablo Picasso in the latter garnered him critical praise."
54146.0,person,nm0286579,Verónica Forqué,1,1955-12-01,2021-12-13,['Verónica Forqué Vázquez-Vigo '],Acting,"Madrid, Spain",1.59,
37588.0,person,nm0690592,María Luisa Ponte,1,1918-06-20,1996-05-02,"['M. Luisa Ponte', 'Maria Luisa Ponte', 'Mª Isabel Ponte', 'Mª Luisa Ponte', 'Mª. Luisa Ponte', 'Mª Luisa Pontes', 'Ingrid Swenson', 'María Luisa Ponte Mancini']",Acting,"Medina de Rioseco, Valladolid, Castilla y León, Spain",3.503,"María Luisa Ponte Mancini (21 June 1918 – 2 May 1996) was a Spanish actress. She appeared in over 135 films and television shows between 1952 and 1995. She appeared in the 1977 film Black Litter, which was entered into the 27th Berlin International Film Festival.  Description above from the Wikipedia article María Luisa Ponte, licensed under CC-BY-SA, full list of contributors on Wikipedia."
3482.0,person,nm0483942,Chus Lampreave,1,1930-12-11,2016-04-04,"['María Jesús Lampreave Pérez', '커스 람프리브']",Acting,"Madrid, Spain",12.268,"María Jesús Lampreave Pérez (11 December 1930 – 4 April 2016), known as Chus Lampreave, was a Spanish actress. Born in Madrid, she began appearing in films in 1958, but she became internationally known thanks to her roles in films by Pedro Almodóvar, where she played old ladies with maternal or pastoral traits. She died in Almería in 2016 at the age of 85."
37501.0,person,nm0005631,José F. Aguayo,2,1911-01-01,1999-05-11,"['J. Fernández Aguayo', 'Joseph Aguayo', 'José Fernández Aguayo', 'José Fez. Aguayo', 'José Aguayo', 'José F. Aguayo Sr.', 'José Fdez. Aguayo', 'José Fez. Aguazo']",Camera,"Madrid, Spain",0.242,
103511.0,person,nm0305054,José Luis Garci,2,1944-01-20,,['José Luis García Muñoz'],Directing,"Madrid, España",1.939,"José Luis Garci is a Spanish director, producer, film critic, TV presenter, screenwriter and author. He earned worldwide acclaim and his country's first Best Foreign Language Film Academy Award for Begin the Beguine (1982). Four of his films, including also Sesión continua (1984), Asignatura aprobada (1987) and El abuelo (1998), have been nominated for the Academy Award for Best Foreign Language Film, more than any other Spanish director. His films are characterized for his classical style and the underlying sentimentality of their plots."
