Id_peli;Tipo;imdb_id;Titulo;Titulo original;Popularidad;Rating;Fecha;Duracion;Paises;Idioma;productoras_id;productoras_nombre;productoras_pais;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Genero_cast;Guion;Genero_guion;Montaje;Genero_montaje;DOP;Genero_dop;Resumen
42020.0;movie;tt0090636;El amor brujo;El amor brujo;3.203;6.938;1986-03-23;100;['ES'];es;[47804, 32842];['Emiliano Piedra P.C.', 'Emiliano Piedra'];['', ''];0;0;['Music', 'Drama'];['Carlos Saura'];[2];['Antonio Gades', 'Cristina Hoyos', 'Laura del Sol', 'Juan Antonio Jiménez', 'Emma Penella', 'La Polaca', 'Rocío Jurado', 'Gómez de Jerez', 'Enrique Ortega', 'Diego Pantoja', 'Giovana', 'Candy Román', 'Maria Campano', 'Manolo Sevilla', 'Antonio Solera', 'Manuel Rodríguez', 'Juan Manuel Roldán', 'José Luis Luna', 'José Luis Luna', 'Antonio Quintana', 'José Benitez', 'Carmen Villa', 'Rocío Navarrete', 'María Fernanda', 'Stella Arauzo', 'Yolanda Gaviño', 'María José Gaviño', 'Blanca Navarro', 'Inma Adánez', 'Esperanza Galán', 'Silvia Aguilar', 'Raquel Alarcón', 'José María Castro', 'David de la Rosa', 'Débora Diaz', 'Sara Morales', 'Susana Sánchez'];[2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[];[];['Pedro del Rey'];[2];[];[];In a Gypsy village, the fathers of Candela and José promise their children to each other. Years later, the unfaithful José marries Candela but while defending his lover Lucía in a brawl, he is stabbed to death. Carmelo, who secretly loves Candela since he was a boy, is arrested while helping José and unfairly sent to prison. Four years later he is released and declares his love for Candela. However, the woman is cursed by a bewitched love and every night she goes to the place where José died to dance with his ghost.
186149.0;movie;tt0091531;Half of Heaven;La mitad del cielo;1.41;6.3;1986-10-09;127;['ES'];es;[981, 58374];['TVE', 'Luis Megino'];['ES', ''];0;0;['Drama'];['Manuel Gutiérrez Aragón'];[2];['Ángela Molina', 'Margarita Lozano', 'Fernando Fernán Gómez', 'Antonio Valero', 'Nacho Martínez', 'Santiago Ramos', 'Francisco Merino', 'Enriqueta Carballeira', 'Marisa Porcel', 'Carolina Silva', 'Julia Martínez', 'Mercedes Lezcano', 'Concha Leza', 'Mónica Molina', 'Raúl Fraire', 'Concha Hidalgo', 'Pedro del Río', 'Valentín Paredes', 'Celestino Diaz', 'Santiago Álvarez', 'Paco Catalá', 'José Segura', 'Francisco Torres', 'Ángel Acinas', 'Francisco Maestre', 'Ramón Reparaz', 'Antonio Chamorro', 'Julio Gavilanes', 'Ricardo Moya', 'Mauricio Lapeña', 'Amparo Gómez Ramos', 'Marcelo García Flores', 'Teresa López', 'Alberto Querol', 'Francisco Arenzana', 'Carmen Zorrilla'];[1, 1, 2, 0, 0, 2, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0];[];[];['José Salcedo'];[2];['José Luis Alcaine'];[2];After the civil war, Rosa, a beautiful and hard worker woman falls in love with a sharpener who turns out to be a con man. When she becomes a widow, she emigrates to Madrid with her daughter beginning to work as a nurse in the home of Don Pedro, an influential food manager.
204125.0;movie;tt0092200;Werther;Werther;1.857;6.0;1986-09-19;105;['ES'];es;[74001];['Pilar Miró P.C.'];[''];0;0;['Drama', 'Romance'];['Pilar Miró'];[1];['Eusebio Poncela', 'Mercedes Sampietro', 'Féodor Atkine', 'Vicky Peña', 'Luis Hostalot', 'Emilio Gutiérrez Caba', 'Miguel Arribas'];[2, 1, 2, 1, 2, 2, 2];[];[];[];[];[];[];This adaptation of Geothe's The Sorrows of Young Werther offers a chilly and remote view of love and its passions. The setting is changed to Spain, and Werther (Eusebio Poncela) has taken a job tutoring the son of an estranged husband and wife. The boy's mother is a surgeon and therefore a rather uncommon woman for her society. She and Werther gradually become romantically involved, and his feelings for her begin to run much deeper than is apparent on the surface.
120162.0;movie;tt0090969;Dragon Rapide;Dragon Rapide;2.542;6.0;1986-07-10;100;['ES'];es;[];[];[];0;0;['War'];['Jaime Camino'];[2];['Juan Diego', 'Vicky Peña', 'Manuel de Blas', 'Pedro Díez del Corral', 'Santiago Ramos', 'Francisco Casares', 'Eduardo MacGregor', 'Saturno Cerra', 'José Luis Pellicena'];[2, 1, 2, 2, 2, 0, 2, 2, 0];[];[];[];[];['Juan Amorós'];[2];The two weeks leading up to the Spanish Civil War in 1936 are dramatized from many different locations in Spain, Morocco and London.
156453.0;movie;tt0090259;Voyage to Nowhere;El viaje a ninguna parte;2.289;7.278;1986-10-15;134;['ES'];es;[108094, 981];['Ganesh Producciones Cinematográficas', 'TVE'];['', 'ES'];0;0;['Drama', 'Comedy'];['Fernando Fernán Gómez'];[2];['José Sacristán', 'Laura del Sol', 'Juan Diego', 'María Luisa Ponte', 'Gabino Diego', 'Nuria Gallardo', 'Fernando Fernán Gómez', 'Queta Claver', 'Emma Cohen', 'Agustín González', 'Carlos Lemos', 'Miguel Rellán', 'Simón Andreu'];[2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 2, 2];[];[];['Pablo G. del Amo'];[2];[];[];The Iniesta-Galván family is a theatre company that goes from town to town offering its performances. Over the years, its members will have to adapt to changes and make decisions, like that of whether or not to continue performing. One day, unexpectedly, a son that he has fathered on his travels presents himself to Carlos Galván.
115484.0;movie;tt0089521;Lulú de noche;Lulú de noche;1.889;3.7;1986-02-20;94;['ES'];es;[38780, 11424, 981];['Kaplan', 'Fernando Trueba PC', 'TVE'];['ES', 'ES', 'ES'];0;0;['Comedy', 'Drama', 'Thriller'];['Emilio Martínez Lázaro'];[2];['Imanol Arias', 'Amparo Muñoz', 'Antonio Resines', 'Assumpta Serna', 'Patricia Adriani', 'Asunción Balaguer', 'El Gran Wyoming', 'Chus Lampreave', 'Fernando Vivanco', 'Pilar Marco', 'Bárbara Tardón', 'Yelena Samarina', 'Luis Hostalot', 'Ricardo Palacios', 'Estanis González', 'Margarita Calahorra', 'Fernando Sotuela', 'Mercedes Camins', 'Concha Gómez Conde', 'Ángel Muñoz Alonso', 'Jesús Fernández', 'Fernando Salas', 'Antonio Chamorro', 'Mapi Galán', 'José Luis Baringo', 'Florindo Tomás', 'José Ramón Pardo', 'Santos Salazar', 'Julio Pérez Perucha', 'Emilio Fuentes', 'Francisco Llinás', 'Laura Bayonas', 'Ángeles Caso', 'Rosa María Mateo', 'Pope John Paul II'];[2, 1, 2, 1, 1, 1, 2, 1, 2, 0, 0, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 1, 2];[];[];['Nieves Martín'];[0];['Juan Amorós'];[2];German, a young theater director, tries to organize a theater play about Lulu, a prostitute that was killed in London by Jack the ripper. While looking for the protagonist, Rufo appears, an introvert jazz musician. He could play Jack the ripper.
366787.0;movie;tt0090696;Banter;Banter;2.288;4.7;1986-08-25;105;['US', 'CH'];en;[84692, 135193];['Banter AG', 'Tesauro'];['', ''];0;0;['Drama', 'Thriller'];['Hervé Hachuel'];[0];['Lola Bayo', 'Tony Curtis', 'José Luis Gómez', 'Gregg Henry', 'Irene Miracle', 'Scott Paulin', 'Patty Shepard', 'Fernando Telletxea', 'Kate Vernon', 'José Yepes', 'José Maria Bastos', 'Mariano Vidal Molina', 'Silvia Numidia Vazquez', 'Josefa Sarsa', 'Alfredo Belinchón', 'Edison Tabaré', 'Javier Pimentel', 'Miguel Gil', 'Óscar García de Tejada', 'Margarita Calahorra', 'Douglas Tantallon', 'Hervé Hachuel', 'Lope Gómez Molero'];[1, 2, 2, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0];[];[];['Eduardo Biurrun'];[2];[];[];An alcoholic partier becomes a paranoid maniac when a manuscript that predicts real-life horrors takes possession of his mind.
112803.0;movie;tt0090561;27 Horas;27 Horas;2.492;6.7;1986-09-23;81;['ES'];es;[];[];[];0;0;['Drama'];['Montxo Armendáriz'];[2];['Antonio Banderas', 'Martxelo Rubio', 'Maribel Verdú', 'Jon San Sebastián', 'André Falcon'];[2, 2, 1, 0, 2];[];[];[];[];[];[];Drama on juvenile delinquency, unemployment and drugs. Jon, a boy of twenty, gets up at seven o'clock and from that moment we can see how he lives the friendship, love, family relationships and his dark passion for drugs.
144319.0;movie;tt0089541;Mambrú se fue a la guerra;Mambrú se fue a la guerra;1.577;5.667;1986-05-16;99;['ES'];es;[108524, 29258];['Altaïr', 'Ministerio de Cultura España'];['', 'ES'];0;0;['Drama', 'Comedy'];['Fernando Fernán Gómez'];[2];['Fernando Fernán Gómez', 'María Asquerino', 'Agustín González', 'Emma Cohen', 'Nuria Gallardo', 'Jorge Sanz', 'Carlos Cabezas', 'Francisco Vidal', 'Alfonso del Real', 'José Segura'];[2, 1, 2, 1, 0, 2, 0, 2, 2, 0];['Pedro Beltrán'];[2];['Pablo G. del Amo'];[2];['José Luis Alcaine'];[2];The news of the death of Franco has a special resonance in the family of Florentina. Fiorentina communicates to the rest of the family a story far more important than the general's death: her husband Emiliano (Fernando Fernan-Gomez), who had been left for dead in the civil war, is alive. During the Franco dictatorship has remained hidden beneath the pylon is in the courtyard of the house.
104089.0;movie;tt0090679;Year of Enlightment;El año de las luces;3.741;6.1;1986-12-05;105;['ES'];es;[81312];['Iberoamericana Films Producción'];[''];0;0;['Drama', 'War'];['Fernando Trueba'];[2];"['Jorge Sanz', 'Verónica Forqué', 'Maribel Verdú', 'Rafaela Aparicio', 'Santiago Ramos', 'Chus Lampreave', 'José «Saza» Sazatornil', 'Manuel Alexandre', 'Violeta Cela', 'Diana Peñalver', 'Lucas Martín', 'Juan de Pablos', 'Pedro Reyes', 'Pilar Marco', 'José María Cañete', 'Gabriel Latorre', 'António Sequeira Lopes', 'María Jesús Hoyos', 'Sonia Tarin', 'Mercedes Jiménez', 'Carmen Velasco', 'Paloma Recio', 'Isabel Ordaz', 'Pilar Ordóñez', 'Mónica Martín', 'Bárbara Tardón', ""Sot'so"", 'José Antonio Díaz', 'Herlinda Cembreros', 'Javier Lozano', 'Joaquín Chaves', 'Carlos Lucas', 'Ismael Martín', 'Marcelo García Flores', 'Rosa Pascual', 'Asunción Nogales', 'Casimira Encinas', 'Carmen Espada', 'Rafael Serna', 'Jesús Fernández', 'Manuel Huete']";[2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0];[];[];['Carmen Frías'];[1];['Juan Amorós'];[2];April, 1940. Manolo, 16 years old, and Jesus, who is just 8, are taken by their older brother Pepe, a lieutenant in the Army, to a sanatorium for children suffering from tuberculosis, situated on the border with Portugal. Once in the sanatorium, Manolo, surrounded by boys all much younger than he is, feels a bit like the cock of the walk since the only other man around is the handyman Emilio who looks after the gardens and does whatever needs to be done about the place. His wife, Rafaela, is the cook. Manolo meets Irene, a falangist who runs the sanatorium, and the school teacher, Miss Transito, a crabby spinster. He has his first sexual experience, albeit as a voyeur, with his nurse Vicenta. When she has to leave, her place is taken by a girl from the village, Maria Jesus, with whom Manolo falls hopelessly in love. A relationship grows up between them which will mark them both for ever.
