tmdb_id;tmdb_type;imdb_id;Name;Gender;Birthday;Deathday;AKA;Department;Place_birth;Popularity;Biography
2895.0;person;nm0417837;Emil Jannings;2;1884-07-22;1950-01-02;['Theodor Friedrich Emil Janenz'];Acting;Rorschach, Switzerland;8.803;Emil Jannings (1884–1950) was a German actor. He was the first actor to win the Academy Award for Best Actor.
13789.0;person;nm0001932;Richard Barthelmess;2;1895-05-08;1963-08-17;['Richard Semler Barthelmess', 'Richard S. Barthelmess', 'Richard Semler Barthelemys'];Acting;New York City, New York, USA;12.466;"From Wikipedia, the free encyclopedia.   Richard Semler ""Dick"" Barthelmess (May 9, 1895 – August 17, 1963) was an Oscar-nominated silent film star.  Barthelmess was educated at Hudson River Military Academy at Nyack and Trinity College at Hartford, Connecticut. His father died when he was a baby and his mother, Caroline Harris , was a stage actress, so he worked in theatres in his early days, between schooling, doing ""walk-ons"". This led to acting in college, doing amateur productions. Russian actress Alla Nazimova, a friend of the family, had been taught English by Barthelmess's mother.  Nazimova in return convinced Barthelmess to try acting professionally and he made his first film appearance in 1916 in the serial Gloria's Romance as an extra. At this time he also appeared as a supporting player in several films starring Marguerite Clark. His next role, in War Brides opposite Alla Nazimova, attracted the attention of legendary director D. W. Griffith, who offered him several important roles, finally casting him opposite Lillian Gish in Broken Blossoms (1919) and Way Down East (1920).  He soon became one of Hollywood's highest paid performers, starring in such classics as The Patent Leather Kid (1927) and The Noose (1928); he was nominated for Best Actor at the first Academy Awards for his performance in both these films, and he won a Special Citation for producing The Patent Leather Kid. He founded his own production company, Inspiration Film Company, together with Charles Duell and Henry King. One of their films, Tol'able David (1921), in which Barthelmess starred as a teenage mailman who finds courage, was a major success.  With the advent of the sound era, Barthelmess' fortunes changed. He made several films in the new medium, most notably Son of the Gods (1930), The Dawn Patrol (1930), The Last Flight (1931), and The Cabin in the Cotton (1932), Central Airport (1933), and a supporting role as Rita Hayworth's character's husband in Only Angels Have Wings (1939).  Description above from the Wikipedia article Richard Barthelmess , licensed under CC-BY-SA,full list of contributors on Wikipedia."
9088.0;person;nm0310980;Janet Gaynor;1;1906-10-06;1984-09-14;['Laura Augusta Gainor', 'Джанет Гейнор'];Acting;Philadelphia, Pennsylvania, USA;10.542;Janet Gaynor (October 6, 1906 – September 14, 1984) was an American actress and painter.  One of the most popular actresses of the silent film era, in 1928 Gaynor became the first winner of the Academy Award for Best Actress for her performances in three films: Seventh Heaven (1927), Sunrise: A Song of Two Humans (1927) and Street Angel (1928). This was the only occasion on which an actress has won for multiple roles. This rule would be changed three years later by AMPAS. Her career continued with the advent of sound film, and she achieved a notable success in the original version of A Star Is Born (1937).  She worked only sporadically after the late 1930s. Severely injured in a 1982 vehicle collision, the incident contributed to her death two years later.  Description above from the Wikipedia article Janet Gaynor, licensed under CC-BY-SA, full list of contributors on Wikipedia
146141.0;person;nm0237571;Louise Dresser;1;1878-10-03;1965-04-24;['Lulu Josephine Kerlin', 'Louise Josephine Kerlin'];Acting;Evansville, Indiana, USA;8.354;
8629.0;person;nm0841797;Gloria Swanson;1;1899-03-27;1983-04-04;['Gloria May Josephine Svensson', 'Gloria Mae', 'Глорія Свенсон'];Acting;Chicago, Illinois, USA;14.503;Gloria Swanson (March 27, 1899 – April 4, 1983) was an American actress. She was one of the most prominent stars during the silent film era as both an actress and a fashion icon, especially under the direction of Cecil B. DeMille, made dozens of silents and was nominated for the first Acadamy Award in the Best Actress catagory. In 1929, Swanson successfully transitioned to talkies with The Trespasser. However, personal problems and changing tastes saw her popularity wane during the 1930s when she moved into Theater and TV. Today she is best known for her role as Norma Desmond, a faded silent film start, in the critically aclaimed film Sunset Boulevard (1950).  Description above from the Wikipedia article Gloria Swanson, licensed under CC-BY-SA, full list of contributors on Wikipedia. ​
2000.0;person;nm0587277;Lewis Milestone;2;1895-09-30;1980-09-25;['Lewis Stone', '루이스 마일스톤'];Directing;Kishinev, Russian Empire;9.736;From Wikipedia, the free encyclopedia.  Lewis Milestone (born Lev Milstein) (September 30, 1895 – September 25, 1980) was a Russian-American motion picture director. He is known for directing Two Arabian Knights (1927) and All Quiet on the Western Front (1930), both of which received Academy Awards for Best Director. He also directed The Front Page (1931 - nomination), The General Died at Dawn (1936), Of Mice and Men (1940), Ocean's Eleven (1960), and Mutiny on the Bounty (1962).  Description above from the Wikipedia article Lewis Milestone, licensed under CC-BY-SA, full list of contributors on Wikipedia
1249775.0;person;nm0928514;Ted Wilde;0;;;[];Acting;;0.001;
14855.0;person;nm0097648;Frank Borzage;2;1894-04-23;1962-06-19;['Mr. Borzage', 'Фрэнк Борзеги'];Directing;Salt Lake City, Utah, USA;10.198;"From Wikipedia, the free encyclopedia  Frank Borzage (April 23, 1894 – June 19, 1962) was an Academy Award-winning American film director and actor, known for directing 7th Heaven (1927), Street Angel (1928), Bad Girl (1931), A Farewell to Arms (1932), Man's Castle (1933), History Is Made at Night (1937), The Mortal Storm (1940) and Moonrise (1948).  In 1912 Borzage found employment as an actor in Hollywood; he continued to work as an actor until 1917. His directorial debut came in 1915 with the film The Pitch o' Chance.  He was a successful director throughout the 1920s, but reached his peak in the late silent and early sound era. Absorbing visual influences from the German director F.W. Murnau, who was also resident at Fox at this time, Borzage developed his own style of lushly visual romanticism in a hugely successful series of films starring Janet Gaynor and Charles Farrell, including 7th Heaven (1927), for which he won the first Academy Award for Best Director, Street Angel (1928) and Lucky Star (1929). He won a second Oscar for 1931's Bad Girl.  He directed 14 films between 1917 and 1919 alone. His greatest success in the silent era was with Humoresque, a box office winner starring Vera Gordon.  Borzage's trademark was intense identification with the feelings of young lovers in the face of adversity, with love in his films triumphing over such trials as World War I (7th Heaven and A Farewell to Arms), disability (Lucky Star), the Depression (Man's Castle), a thinly disguised version of the Titanic disaster in History Is Made at Night, and the rise of Nazism, a theme which Borzage had virtually to himself among Hollywood filmmakers from Little Man, What Now? (1933) to Three Comrades (1938) and The Mortal Storm (1940).  His work took a spiritual turn in such films as Green Light (1937), Strange Cargo (1940) and The Big Fisherman (1959). Of his later work only the film noir Moonrise (1948) has enjoyed much critical acclaim. After 1948, Borzage's output was sporadic.  In 1955 and 1957, he was awarded The George Eastman Award, given by George Eastman House for distinguished contribution to the art of film.  Frank Borzage died of cancer in 1962, aged 68."
930791.0;person;nm0107543;Herbert Brenon;2;1880-01-13;1958-06-21;['Alexander Herbert Reginald St. John Brenon'];Directing;Dublin, Ireland;9.814;Irish filmmaker.
29962.0;person;nm0896542;King Vidor;2;1894-02-08;1982-11-01;['킹 비도르', '킹 비도어'];Directing;Galveston, Texas, USA;15.769;"King Wallis Vidor (February 8, 1894 – November 1, 1982) was an American film director, film producer, and screenwriter whose career spanned nearly seven decades. In 1979, he was awarded an Honorary Academy Award for his ""incomparable achievements as a cinematic creator and innovator."" He was nominated five times for the Academy Award for Best Director, and won eight international film awards during his career. Vidor's best known films include The Big Parade (1925), The Crowd (1928), Stella Dallas (1937), and Duel in the Sun (1946)."
1506044.0;person;nm0358518;Ralph Hammeras;0;;;[];Crew;;0.367;
29965.0;person;nm0267868;Joseph Farnham;2;1884-12-02;1931-06-02;['Joe Farnham', 'Jos. W. Farnham', 'Joseph W. Farnham', 'Joe Farnum '];Writing;New Haven, Connecticut, USA;1.671;"From Wikipedia, the free encyclopedia  Joseph White Farnham (December 2, 1884 – June 2, 1931) was an American playwright and a film writer and film editor of the silent movie era to the early 1930s. He was also a founding member of the Academy of Motion Picture Arts and Sciences.  Born in Connecticut in 1884,Farnham got his start in film through his business relationship with theatre empresarios Gustave and Daniel Frohman who owned The Frohman Amusement Corp. The Big Parade is probably the most famous of his works adapted to film. In the 1st Academy Awards of 1929, nominees could be considered for an Oscar for an award on the basis of multiple films within the year. Joseph won his Best Writing - Title Cards award for the films Fair Co-Ed; Laugh, Clown, Laugh; and Telling the World. This was the only year that an Oscar for title cards would be awarded.  Joseph Farnham was the very first Academy Award-winner to die. He died in 1931 of a heart attack while living in Los Angeles, California and was interred in the Forest Lawn Memorial Park Cemetery in Glendale, California."
101889.0;person;nm0547938;George Marion Jr.;2;;;[];Writing;;1.147;
13848.0;person;nm0000122;Charlie Chaplin;2;1889-04-16;1977-12-25;"['Charles Spencer Chaplin', 'Charles Chaplin', 'Чарлз Спенсер Чаплін', 'Charlot', 'Carlitos', '查理·卓别林', '찰리 채플린', 'チャールズ・チャップリン', ""צ'ארלי צ'פלין"", 'تشارلي تشابلن', 'چارلی چاپلین', 'Τσάρλι Τσάπλιν', '찰스 스펜서 채플린', 'チャールズ・スペンサー・チャップリン', 'Чарльз Спенсер Чаплин', 'Чарльз Чаплин']";Acting;Walworth, London, England, UK;35.866;Charles “Charlie” Chaplin (April 16, 1889 – December 25, 1977) was an English comic actor, film director and composer best-known for his work during the silent film era. He used mime, slapstick and other visual comedy routines, and continued well into the era of the talkies, though his films decreased in frequency by the end of the 1920s. His most famous role was that of The Tramp, which he first played in Kid Auto Races (1914). From 1914 onwards he was writing and directing most of his films, by 1916 he was producing them, and by 1918 he was also composing the music for them. In 1919 he co-founded United Artists. In 1999, the American Film Institute ranked Chaplin the 10th greatest male screen legend of all time.
29999.0;person;nm0062828;Warner Baxter;2;1889-03-28;1951-05-07;['Warner Leroy Baxter', 'Уорнер Бакстер'];Acting;Columbus, Ohio, USA;10.102;Warner Leroy Baxter (March 29, 1889 – May 7, 1951) was an American film actor from the 1910s to the 1940s. Baxter became known for his role as The Cisco Kid in the 1928 film In Old Arizona for which he won the Academy Award for Best Actor at the 2nd Academy Awards. He frequently played womanizing, charismatic Latin bandit types in westerns, and played The Cisco Kid or a similar character throughout the 1930s, but had a range of other roles throughout his career.
13555.0;person;nm0051628;George Bancroft;2;1882-09-30;1956-10-02;[];Acting;Philadelphia, Pennsylvania, USA;7.307;George Bancroft was an American screen actor of the 1920s and 1930s.
34754.0;person;nm0606431;Chester Morris;2;1901-02-16;1970-09-11;['John Chester Brooks Morris'];Acting;New York City, New York, USA;11.785;"Chester Morris (born John Chester Brooks Morris; February 16, 1901 – September 11, 1970) was an American stage, film, television, and radio actor. He had some prestigious film roles early in his career, and was nominated for an Academy Award. Chester Morris is best remembered today for portraying Boston Blackie, a criminal-turned-detective, in the modestly budgeted Boston Blackie film series of the 1940s."
13352.0;person;nm0612847;Paul Muni;2;1895-09-21;1967-08-25;['Пол Муни', 'Meshilem Meier Weisenfreund'];Acting;Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine];7.963;"From Wikipedia, the free encyclopedia.  Paul Muni (born Meshilem Meier Weisenfreund, September 22, 1895 – August 25, 1967) was an Austrian-Hungarian-born American stage and film actor. During the 1930s, he was considered the most prestigious actor at Warner Brothers studios, and one of the rare actors who was given the privilege of choosing which parts he wanted.  His acting quality, usually playing a powerful character, such as Scarface, was partly a result of his intense preparation for his parts, often immersing himself in study of the real character's traits and mannerisms. He was also highly skilled in using makeup techniques, a talent he learned from his parents, who were also actors, and from his early years on stage with the Yiddish Theater, in New York. At the age of 12, he played the stage role of an 80-year-old man; in one of his films, Seven Faces, he played seven different characters.  He was nominated six times for an Oscar, winning once as Best Actor in The Story of Louis Pasteur.  Description above from the Wikipedia article Paul Muni, licensed under CC-BY-SA, full list of contributors on Wikipedia"
