Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
2022,BestAdaptedScreenplay(MejorGuiónAdaptado),Winner,Las leyes de la frontera,tt11892272,"['Daniel Monzón', 'Jorge Guerricaechevarría']","['nm0600409', 'nm0346277']",,
2022,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El ventre del mar,tt12831788,['Agustí Villaronga'],['nm0898063'],,
2022,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Ama,tt11808288,"['Júlia de Paz', 'Nuria Dunjó']","['nm2327950', 'nm9985568']",,
2022,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,Pan de limón con semillas de amapola,tt12658852,"['Benito Zambrano', 'Cristina Campos']","['nm0952583', 'nm1370296']",,
2022,BestAnimatedFilm(MejorPelículadeAnimación),Winner,Valentina,tt16277374,"['Brandán de Brano', 'Chelo Loureiro', 'Luís da Matta Almeida', 'Mariano Baratech', 'Noa García']","['nm12287574', 'nm2055719', 'nm2238428', 'nm7314717', 'nm10707821']",,
2022,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Gora Automatikoa,tt15502822,"['Carlos Guerrero', 'David Galán Galindo', 'David Torres Vázquez', 'Esaú Dharma', 'Pablo Vara']","['nm12138178', 'nm2805715', 'nm7097132', 'nm5555636', 'nm4591651']",,
2022,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Salvar el árbol,tt11132584,"['Karmelo Vivanco', 'Egoitz Rodríguez Olea', 'Fernando Alonso', 'Jonatan Guzman', 'Nelson Botter Jr.']","['nm1302985', 'nm3804490', 'nm8228563', 'nm10759389', 'nm8228564']",,
2022,BestAnimatedFilm(MejorPelículadeAnimación),Nominee,Mironins,tt16277420,"['Álex Cervantes', 'Ángel Coronado', 'Anton Roebben', 'Eric Goossens', 'Iván Agenjo', 'Mikel Mas Bilbao', 'Oriol Roca']","['nm2635369', 'nm2876292', 'nm3799372', 'nm0329666', 'nm11257182', 'nm2004239', 'nm7899561']",,
2022,BestAnimatedShortFilm(MejorCortometrajedeAnimación),Winner,The Monkey,tt13356010,"[""Lorenzo Degl' Innocenti"", 'Xosé Zapata', 'Diogo Carvalho', 'Nicolás Matji', 'Nuno Beato']","['nm5068494', 'nm1364853', 'nm4083164', 'nm1968081', 'nm3299019']",,
2022,BestAnimatedShortFilm(MejorCortometrajedeAnimación),Nominee,Nacer,tt15723910,"['Roberto Valle', 'Carlos Valle Casas', 'Iván Miñambres', 'Néstor López']","['nm9915071', 'nm7816458', 'nm3925447', 'nm8740167']",,
