Id_peli,Tipo,imdb_id,Titulo,Titulo original,Popularidad,Rating,Fecha,Duracion,Paises,Idioma,productoras_id,productoras_nombre,productoras_pais,Presupuesto,Ganancia,Generos,Director,Genero_dir,Casting,Genero_cast,Guion,Genero_guion,Montaje,Genero_montaje,DOP,Genero_dop,Resumen
776821.0,movie,tt11892272,Outlaws,Las leyes de la frontera,8.222,6.9,2021-10-08,125,['ES'],es,"[29566, 2875, 113812, 219632]","['Atresmedia', 'Ikiru Films', 'La Terraza Films', 'Las Leyes De La Frontera']","['ES', 'ES', 'ES', '']",0,0,['Crime'],['Daniel Monzón'],[2],"['Marcos Ruiz', 'Begoña Vargas', 'Chechu Salgado', 'Pep Tosar', 'Xavier Martín', 'Daniel Ibáñez', 'Guillermo Lasheras', 'Cintia García', 'Jorge Aparicio', 'Víctor Manuel Pajares', 'Carlos Oviedo', 'Catalina Sopelana', 'Xavi Sáez', 'Carlos Serrano', 'Santiago Molero', 'Ainhoa Santamaría', 'Elisabet Casanovas', 'Pep Cruz', 'Estefanía de los Santos', 'Mabel del Pozo', 'Nina Pomodoro', 'Paula Waymore', 'Anna Caterina', 'Krishna Salleras', 'Eulàlia Ballart', 'Guillem Albasanz', 'Oriol Cervera', 'Rafa Valls', 'Marc Balaguer', 'Marisa Duaso', 'Jordi Collet', 'Pau Serra', 'Roger Sahuquillo', 'Joel Ávila', 'Annabel Totusaus', 'Carles Bigorra', 'Arnau Casanovas', 'Chus Leiva', 'Enrique Martínez', 'Jéssica Ross', 'Enric Ases', 'Joan Serrats', 'Ángeles Díaz', 'Carolina Montoya', 'Carlos Vicente', 'Armand Villén', 'Óscar Morell', 'Eric Balbàs', 'Jordi Gràcia', 'Toni Ramírez', 'Javier Beltrán']","[2, 1, 2, 2, 0, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2]","['Daniel Monzón', 'Jorge Guerricaechevarría']","[2, 2]",['Mapa Pastor'],[1],['Carles Gusi'],[2],Introverted Girona student Nacho meets two delinquents from the city's Chinatown and gets caught up in a summer onslaught of burglaries and hold ups that will change his life.
814608.0,movie,tt12831788,The Belly of the Sea,El ventre del mar,1.231,3.6,2021-11-12,78,['ES'],es,"[152184, 10082, 36921]","['El Testamento de María', 'IB3', 'La Perifèrica']","['', 'ES', 'ES']",0,0,['Drama'],['Agustí Villaronga'],[2],"['Roger Casamajor', 'Òscar Kapoya', 'Muminu Diayo', 'Marc Bonnin', 'Armando Buika', 'Blanca Llum Vidal', 'Rafel Ramis']","[2, 0, 0, 0, 0, 0, 0]","['Agustí Villaronga', 'Alessandro Baricco']","[2, 2]",['Bernat Aragonés'],[0],"['Josep M. Civit', 'Blai Tomàs']","[2, 0]","June, 1816. A French navy frigate ran aground on a sandbar off the coast of Senegal. Attempts to free the board were futile - the crew had no choice but to abandon ship. Since the available boats were not enough to accommodate the entire crew, the team built a raft. It accommodated 147 people: soldiers, sailors, several passengers and officers. The plan was for the boats to tow the raft. But the cable broke and the raft drifted into the open sea. For those who were on the raft, a harsh and cruel struggle for life began."
836950.0,movie,tt11808288,Ama,Ama,3.343,6.4,2021-06-04,97,['ES'],es,"[155386, 155387]","['La Dalia Films', 'Ama Movie AIE']","['ES', '']",0,0,['Drama'],['Júlia de Paz'],[1],"['Tamara Casellas', 'Leire Marín', 'Estefanía de los Santos', 'Ana Turpin', 'Manuel de Blas', 'Pablo Gómez-Pando', 'Chema del Barco', 'María Marrero', 'Carmen Ibeas']","[1, 1, 1, 0, 2, 2, 2, 0, 1]",[],[],['Oriol Millán'],[0],['Sandra Roca'],[0],"A portrait of the myth of maternity around the story of Pepa and her daughter, who are evicted from their home and forced to wander for a place to live with no support network."
793157.0,movie,tt12658852,Lemon and Poppy Seed Cake,Pan de limón con semillas de amapola,3.361,6.7,2021-11-12,118,['ES'],es,[],[],[],0,0,['Drama'],['Benito Zambrano'],[2],"['Elia Galera', 'Eva Martín', 'Mariona Pagès', 'Marilú Marini', 'Tommy Schlesser', 'Hoji Fortuna']","[1, 1, 0, 1, 2, 2]","['Benito Zambrano', 'Cristina Campos']","[2, 0]",['Teresa Font'],[1],[],[],"In a small town located in the island of Mallorca, Anna and Marina, two sisters who were separated when they were teenagers, meet again to sell a bakery they’ve inherited from a mysterious woman they know nothing about. The two sisters have led very different lives. Anna has barely left the island and is unhappily married to a man she no longer loves. Marina travels the world working as a doctor for an NGO. As the sisters try to uncover the secrets hidden behind their enigmatic benefactor and her property, they are forced to confront old family disputes and make up for lost time."
800817.0,movie,tt16277374,Valentina,Valentina,6.012,6.0,2021-12-10,65,['ES'],es,"[87825, 150014, 150015]","['Abano Producións', 'Antaruxa', 'El Gatoverde Producciones']","['ES', '', 'ES']",0,0,"['Animation', 'Family', 'Music']",['Chelo Loureiro'],[0],"['Laetitia Casta', 'Jeanne Métivier', 'Sarah Vergès', 'Eric Mie', 'Françoise Markun', 'Audrey Di Nardo', 'Louis Collet', 'Laurence Lecler', 'Lúa Testa']","[1, 0, 0, 0, 0, 0, 0, 0, 1]",[],[],[],[],[],[],"Valentina is fed up of her Down’s syndrome, convinced that it prevents her from making her dream true: becoming a trapeze artist. But a magical journey will reveal to her all that she is capable of doing."
897183.0,movie,tt15502822,Gora Automatikoa,Gora Automatikoa,1.076,6.1,2021-12-17,71,['ES'],eu,"[10155, 120286]","['39 Escalones Films', 'The Other Film Production']","['ES', 'ES']",0,1703,"['Animation', 'Comedy']","['David Galán Galindo', 'Esaú Dharma', 'Pablo Vara']","[2, 0, 0]","['Esaú Dharma', 'David Galán Galindo', 'Pablo Vara', 'Pepe Macías', 'Miguel Martín', 'Raúl Pérez', 'Íñigo Rodríguez', 'Elena de Lara', 'Lucía Esteban', 'Sara Heras', 'Frank T.', 'Andrés Trasado', 'María Luisa Galindo', 'Fernando Osuna Mascaró', 'Mario Dell', 'David Galán Iglesias', 'Natalia López', 'Guillermo Vílchez Corredor', 'Raquel Cuétara', 'Laura L. Cantapiedra', 'Lara Saori Galán']","[0, 2, 0, 0, 2, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],[],[],[],[],[],"When Galindo, an acid unsuccessful film director, sees the triumph of"" La gallina Turuleca "" at the 2021 Goya gala, he discovers that there is a way to win a Goya automatically: to be the only animated film that comes in. Then Galindo decides to make an animated film to get so much desired Goya. For this he goes in search of his old companions of film adventures: Pablo and Dharma."
886896.0,movie,tt11132584,Save The Tree,Salvar el árbol,1.416,4.7,2021-10-22,80,['ES'],es,[],[],[],0,0,['Animation'],"['Iker Alvarez', 'Haizea Pastor']","[0, 0]",[],[],[],[],[],[],[],[],"In the forests of the Pyrenees, there are still people who tell stories of trees... of fantastic beings with powers beyond our imagination. And with those trees, from the very moment in which their seeds sprout, a pixie becomes their inseparable companion."
865803.0,movie,tt16277420,Mironins,Mironins,0.686,0.0,2021-07-31,56,['ES'],ca,"[101521, 154077, 159732, 17272, 8675, 159733, 154079, 159734, 981, 5085, 83064, 121972]","['Cornelius Films', 'Wuji House', 'Peekaboo Animation', 'Hampa Animation Studio', 'Walking The Dog', 'Fundació Joan Miró', 'Pájaro', 'Antaviana Films', 'TVE', 'TV3', 'Ketnet', 'À Punt']","['ES', 'ES', 'ES', 'ES', 'BE', 'ES', 'CL', 'ES', 'ES', 'ES', 'BE', 'ES']",0,0,"['Animation', 'Comedy', 'Fantasy']","['Mikel Mas Bilbao', 'Txesco Montalt']","[0, 0]",['Gemma Ventura Santasusana'],[1],"['Celia Rico Clavellino', 'Cristina Broquetas', 'Irene Iborra']","[1, 0, 0]",[],[],[],[],"Every night, when the museum closes its doors, the mironins, Blu, Low and Ro, three little drops of paint that live in the paintings created by the Spanish painter Joan Miró (1893-1983), come to life and immerse themselves in an inexhaustible universe where art and imagination reign."
838804.0,movie,tt13356010,The Monkey,The Monkey,1.892,6.3,2021-05-30,17,['US'],en,"[104632, 49235]","['Lightbox Animation Studios', 'Sardinha em Lata']","['ES', 'PT']",0,0,"['Animation', 'Drama']","['Xosé Zapata', ""Lorenzo Degl'Innocenti""]","[0, 2]","['Colm Meaney', 'Àlex Brendemühl', 'Eduardo Araujo de Barros', 'Dominic Abbott', 'Jim Trainor', 'Monti Castiñeiras', 'Luis Iglesia', 'Martin Mares']","[2, 2, 0, 0, 0, 2, 2, 2]",[],[],['Fran X. Rodríguez'],[0],[],[],"In 1588, a castaway from the Spanish Armada, sent from Portugal by Philip II of Spain to conquer England, is captured on an Irish beach. There he is tried, declared guilty and hanged to death. All of this would be reasonable according to the laws of war and hatred among humans. The problem is the prisoner is a monkey."
876094.0,movie,tt15723910,Birth,Nacer,0.019,0.0,2021-12-01,9,['US'],en,[],[],[],0,0,['Animation'],['Roberto Valle'],[0],[],[],[],[],[],[],[],[],"Carlos is a little boy who has just received some amazing news: his mother is pregnant!... Over the next few months, his whole world will change..."
